"番剧名称","追番数","集数","上映时间"
"我们大家的河合庄","78.3万追番","全12话","14年4月开播"
"我们无法一起学习","204.2万追番","全13话","19年4月开播"
"我们无法一起学习！","199万追番","全13话","19年10月开播"
"我们的存在","20万追番","全26话","06年7月开播"
"我们的重制人生","268.4万追番","全12话","21年7月开播"
"我们的黎明","2.1万追剧","2022年10月21日上映","23年6月开播"
"我们这一家 剧场版","4万追番","全2话","02年4月开播"
"我们这一家 新篇","30.1万追番","全26话","15年10月开播"
"我们这一家 第一期","19万追番","全270话","02年4月开播"
"我太受欢迎了该怎么办","235.8万追番","全12话","16年10月开播"
"我女友与青梅竹马的惨烈修罗场","299.3万追番","全13话","13年1月开播"
"我家师傅没有尾巴","18.6万追番","全13话","22年9月开播"
"我家浴缸的二三事","87.9万追番","全13话","14年10月开播"
"我是国王","6260追番","全12话","13年4月开播"
"我是格鲁特","3.2万追番","全5话","23年8月开播"
"我是格鲁特 中文配音","5198追番","全5话","23年8月开播"
"我是格鲁特 第二季","2.7万追番","全5话","24年6月开播"
"我独自升级","250万追番","全12话","24年2月开播"
"我独自升级 第二季 -起于暗影-","295万追番","全13话","25年1月开播"
"我的女神","37.5万追番","全26话","05年1月开播"
"我的女神 OAD","2.9万追番","全3话","11年2月开播"
"我的女神 OVA","5.1万追番","全5话","93年2月开播"
"我的女神 缤纷之翼","11.7万追番","全24话","06年4月开播"
"我的妹妹不可能那么可爱 第一季","254.4万追番","全16话","10年10月开播"
"我的妹妹不可能那么可爱 第二季","132.6万追番","全16话","13年4月开播"
"我的妹妹小桃子","1.9万追番","全1话","03年7月开播"
"我的妹妹是大阪大妈","8.7万追番","全13话","12年12月开播"
"我的幸福婚姻","89.3万追番","全13话","23年8月开播"
"我的幸福婚姻 第二季","85.3万追番","全13话","25年1月开播"
"我的朋友很少 OAD","35.7万追番","全1话","11年9月开播"
"我的长腿叔叔","4.3万追番","全40话","90年1月开播"
"我的青春恋爱物语果然有问题。","550.8万追番","全13话","13年4月开播"
"我的青春恋爱物语果然有问题。 第一季 OVA","88.3万追番","全1话","13年9月开播"
"我的青春恋爱物语果然有问题。完","604.2万追番","全12话","20年7月开播"
"我的青春恋爱物语果然有问题。续","399万追番","全13话","15年4月开播"
"我立于百万生命之上","237.3万追番","全12话","20年10月开播"
"我立于百万生命之上（第二季）","206万追番","全12话","21年7月开播"
"我被逐出队伍后过上慢生活","315.5万追番","全13话","21年10月开播"
"我被逐出队伍后过上慢生活 第二季","300.9万追番","全12话","24年2月开播"
"我要上太空","5608追番","全20话","03年11月开播"
"我要招架一切 逆向误解的世界最强梦想成为冒险者","9.7万追番","全12话","25年8月开播"
"戒律的复活","230.7万追番","全24话","18年1月开播"
"战刻夜想曲","33.7万追番","全12话","17年10月开播"
"战吼","1.9万追番","全13话","06年1月开播"
"战国☆天堂 -极-","9751追番","全26话","11年10月开播"
"战国BASARA","12.1万追番","全13话","09年4月开播"
"战国BASARA Judge End","4.3万追番","全12话","14年7月开播"
"战国BASARA 剧场版 -The Last Party-","1.7万追番","全2话","11年6月开播"
"战国无双","5.4万追番","全12话","15年1月开播"
"战国无双SP 真田之章","1.5万追番","全1话","14年3月开播"
"战国鬼才传","1.8万追番","全39话","11年4月开播"
"战场上的女武神","10.5万追番","全26话","09年4月开播"
"战姬绝唱SYMPHOGEAR G","15.7万追番","全13话","13年7月开播"
"战斗司书","14.5万追番","全27话","09年10月开播"
"战斗妖精雪风","12.8万追番","全5话","02年8月开播"
"战斗陀螺 第一季","3.3万追番","全51话","01年1月开播"
"战翼的希格德莉法","63.9万追番","全12话","20年10月开播"
"战队大失格 第二季","6.9万追番","全12话","25年5月开播"
"戴拿奥特曼","75.6万追番","全51话","21年6月开播"
"戴拿奥特曼（中配）","71.4万追番","全51话","21年3月开播"
"房东青春期！","79.1万追番","全12话","16年1月开播"
"手冢治虫的佛陀：永无止境之旅","2.8万追番","全1话","14年2月开播"
"打了300年的史莱姆，不知不觉就练到了满级","316.4万追番","全12话","21年4月开播"
"打了300年的史莱姆，不知不觉就练到了满级 第二季","317万追番","全12话","25年4月开播"
"打工吧！魔王大人","292.8万追番","全13话","13年4月开播"
"打工吧！魔王大人 第二季","293.5万追番","全24话","22年9月开播"
"打工小哥","10.9万追番","全13话","18年1月开播"
"打工小哥！之2！","5.8万追番","全12话","18年7月开播"
"托尔与洛基：血亲","2.3万追番","全4话","11年1月开播"
"托马斯和他的朋友们 第二十一季","1294追番","全20话","23年12月开播"
"托马斯和他的朋友们 第二十三季","2162追番","全23话","23年9月开播"
"托马斯和他的朋友们 第二十二季","1195追番","全26话","23年12月开播"
"托马斯和他的朋友们 第二十五季（上）（中文配音）","6705追番","全26话","23年9月开播"
"托马斯和他的朋友们 第二十六季（上）（中文配音）","9204追番","全26话","24年4月开播"
"托马斯和他的朋友们 第二十六季（下）（中文配音）","1万追番","全26话","24年9月开播"
"托马斯和他的朋友们 第二十四季","1802追番","全21话","23年9月开播"
"托马斯和他的朋友们 第十九季","5402追番","全26话","24年6月开播"
"托马斯和他的朋友们 第十九季 中文配音","1.2万追番","全26话","24年6月开播"
"扭曲仙境","12.7万追番","全8话","25年10月开播"
"拜托了！双子星","10.7万追番","全13话","03年7月开播"
"拜托了！老师","22.6万追番","全13话","02年1月开播"
"拳王创世纪1 影道篇","2370追番","全6话","10年4月开播"
"拳皇的另一天","4.1万追番","全4话","05年12月开播"
"拽妹黛薇儿 第五季","4.5万追番","全13话","01年2月开播"
"拾荒者统治","19.3万追番","全12话","24年9月开播"
"指名！","44.9万追番","全24话","22年1月开播"
"捉迷藏","6.6万追番","全1话","05年3月开播"
"捡到退婚大小姐的我，教她幸福的事","50万追番","全12话","23年11月开播"
"捷德奥特曼","79.6万追番","全25话","21年3月开播"
"捷德奥特曼（中配）","63.1万追番","全25话","21年3月开播"
"捷德奥特曼剧场版 连接吧！心愿！！","4.2万追番","全1话","22年6月开播"
"捷德奥特曼剧场版 连接吧！心愿！！（中配）","1.3万追番","全1话","22年6月开播"
"排球少年！！","290.4万追番","全25话","14年4月开播"
"排球少年!!垃圾场决战","14.4万追剧","敬请期待","25年1月开播"
"排球少年剧场版 才能与感觉","21万追番","全1话","17年9月开播"
"排球少年剧场版 结束与开始","35.3万追番","全1话","15年7月开播"
"排球少年剧场版 胜者与败者","18万追番","全1话","15年9月开播"
"推理之绊","9万追番","全25话","02年10月开播"
"提亚拉之泪","10.9万追番","全26话","09年4月开播"
"搞怪兄弟弗拉德与尼基 第二季","528追番","全50话","1月30日开播"
"搞怪兄弟弗拉德与尼基 第二季 中文配音","1415追番","全50话","1月30日开播"
"搞笑漫画日和","62.6万追番","全12话","05年2月开播"
"搞笑漫画日和2","17.9万追番","全12话","06年8月开播"
"搞笑漫画日和GO","79.9万追番","全12话","25年4月开播"
"摇曳露营 第三季","29.5万追番","全13话","24年5月开播"
"摇滚乃是淑女的爱好","74.7万追番","全13话","25年4月开播"
"摇滚吧！中二乐团","5.4万追剧","2019年9月26日上映","21年5月开播"
"摸索吧！部活剧","10.6万追番","全12话","13年10月开播"
"擅长捉弄的高木同学","394.4万追番","全12话","24年3月开播"
"擅长捉弄的高木同学 剧场版","360万追番","全1话","23年1月开播"
"擅长捉弄的高木同学 第三季","353.6万追番","全12话","22年1月开播"
"擅长捉弄的高木同学 第二季","310万追番","全12话","19年7月开播"
"擅长逃跑的殿下","40.8万追番","全12话","24年8月开播"
"攀岩少女！","32.5万追番","全12话","20年10月开播"
"攻壳机动队 2045 剧场版","102万追番","全1话","23年3月开播"
"攻壳机动队 2045 第二季","101.6万追番","全12话","23年4月开播"
"攻壳机动队 S.A.C. 2nd GIG","24.1万追番","全26话","04年1月开播"
"攻壳机动队 S.A.C. Solid State Society","8.6万追番","全1话","06年9月开播"
"攻壳机动队 S.A.C. SSS 3D","11.1万追番","全1话","11年3月开播"
"攻壳机动队 SAC_2045","75.1万追番","全12话","20年4月开播"
"攻壳机动队 STAND ALONE COMPLEX","80.1万追番","全26话","02年10月开播"
"攻壳机动队 个别的十一人","9万追番","全1话","06年1月开播"
"攻壳机动队 塔奇克马的日常","3.4万追番","全26话","02年10月开播"
"攻壳机动队 笑面男","8.6万追番","全1话","05年10月开播"
"攻壳机动队ARISE","5万追番","全4话","13年6月开播"
"攻壳机动队ARISE ALTERNATIVE ARCHITECTURE","16.4万追番","全10话","15年4月开播"
"放学后失眠的你","60.9万追番","全13话","23年4月开播"
"放学后桌游俱乐部","39.6万追番","全12话","19年10月开播"
"放学后海堤日记","94.1万追番","全12话","20年4月开播"
"放浪男孩","11.7万追番","全11话","11年1月开播"
"政宗君的复仇","182.1万追番","全12话","20年9月开播"
"故事少女穗乃花","1.6万追番","全1话","15年7月开播"
"教教我吧 北斋！","14万追番","全10话","21年3月开播"
"敦君与女朋友","134.9万追番","全25话","18年4月开播"
"数码宝贝 幽灵游戏","2.8万追番","全18话","23年9月开播"
"文学少女","15.1万追番","全4话","09年12月开播"
"文学少女 今日的点心～初恋～","5.6万追番","全1话","09年12月开播"
"文学少女 剧场版","5.7万追番","全1话","10年5月开播"
"文豪与炼金术师 ～审判的齿轮～","74.6万追番","全13话","20年4月开播"
"文豪野犬 汪！","328.8万追番","全12话","21年1月开播"
"文豪野犬 第三季","384.9万追番","全12话","19年4月开播"
"文豪野犬 第五季","425.8万追番","全11话","23年8月开播"
"文豪野犬 第四季","419.8万追番","全13话","23年2月开播"
"斗牌传说","17万追番","全26话","05年10月开播"
"斩服少女","206.9万追番","全24话","13年10月开播"
"斩服少女 OAD","14.7万追番","全1话","14年9月开播"
"斯特拉的魔法","39万追番","全12话","16年10月开播"
"新世界 未来篇","3.1万追番","全1话","12年10月开播"
"新世界之门","15.7万追番","全12话","24年6月开播"
"新世纪福音战士新剧场版：终","367.4万追剧","敬请期待","2021年3月8日上映"
"新人炼金术师的店铺经营","44.7万追番","全12话","22年10月开播"
"新天线宝宝","5.2万追番","全60话","15年11月开播"
"新天线宝宝 第二季","5.3万追番","全60话","15年11月开播"
"新干线变形机器人 辛卡利欧Z / 进化利恩 极","3.4万追番","全41话","22年5月开播"
"新撰组异闻录 铁","11.6万追番","全24话","03年10月开播"
"新樱花大战","40.1万追番","全12话","20年4月开播"
"新猫和老鼠 第一季","17.9万追番","全25话","21年11月开播"
"新猫和老鼠 第三季","11万追番","全24话","21年11月开播"
"新猫和老鼠 第二季","15.4万追番","全26话","21年11月开播"
"新猫和老鼠 第五季","409.3万追番","全13话","25年11月开播"
"新猫和老鼠 第五季 中文配音","407.8万追番","全13话","25年11月开播"
"新猫和老鼠 第四季","36.5万追番","全26话","22年8月开播"
"新白雪姬传说","14.3万追番","全13话","01年4月开播"
"新网球王子 OVA 对战Genius10","29.1万追番","全10话","14年10月开播"
"新网球王子 U-17世界杯","86.3万追番","全13话","23年10月开播"
"新网球王子 U-17世界杯半决赛","89万追番","全13话","24年10月开播"
"新网球王子 冰帝 vs 立海 未来之战","72万追剧","2021年2月13日上映","22年1月开播"
"新蔷薇少女","46万追番","全13话","13年7月开播"
"新造人间卡辛（1973）","2万追番","全35话","73年10月开播"
"旅程","5万追剧","2021年6月25日上映","23年8月开播"
"旅街LateShow","8.4万追番","全4话","16年1月开播"
"旋风管家 Cuties","24.1万追番","全12话","13年4月开播"
"旋风赛车队 中文配音","543追番","全52话","25年9月开播"
"无口的森田小姐 2","2.5万追番","全13话","11年10月开播"
"无口的森田小姐 OVA","1.3万追番","全1话","11年3月开播"
"无头骑士异闻录","202.7万追番","全26话","10年1月开播"
"无头骑士异闻录×2 承","66.2万追番","全12话","15年1月开播"
"无头骑士异闻录×2 结","56.6万追番","全12话","16年1月开播"
"无头骑士异闻录×2 结 DuFuFuFu!!","18.7万追番","全1话","16年5月开播"
"无头骑士异闻录×2 转","67.6万追番","全12话","15年7月开播"
"无敌侠：舞动的英雄","15.2万追番","全12话","21年10月开播"
"无敌的我是英雄爸爸和精灵妈妈的女儿","15.9万追番","全12话","25年10月开播"
"无敌看板娘","12.1万追番","全12话","06年7月开播"
"无法逃离的背叛","74.7万追番","全24话","10年4月开播"
"无畏魔女","32.5万追番","全12话","16年10月开播"
"无畏魔女 OVA","2.2万追番","全1话","17年8月开播"
"无能力者娜娜","217.4万追番","全13话","20年9月开播"
"无论何时我们的恋情都是10厘米。～告白实行委员会～","238.4万追番","全6话","17年11月开播"
"无责任舰长","1.1万追番","全26话","93年1月开播"
"无限滑板 / SK8 the Infinity","254.5万追番","全13话","21年1月开播"
"无限滑板 特别篇","247.1万追番","全1话","25年3月开播"
"无限系统树","136.5万追番","全13话","20年1月开播"
"日常","442.3万追番","全26话","11年4月开播"
"早安恋味糕点店","37.3万追番","全24话","14年10月开播"
"时间旅行少女","22.3万追番","全12话","16年7月开播"
"时间飞船24","5.4万追番","全24话","16年10月开播"
"时间飞船24 逆袭的三恶人","2.6万追番","全24话","17年10月开播"
"明日之丈","17.7万追番","全79话","21年3月开播"
"明日的与一","24.4万追番","全12话","09年1月开播"
"明日酱的水手服","107.9万追番","全12话","22年3月开播"
"明明只是暗杀者，我的面板数值却比勇者还要强","31.9万追番","全12话","25年10月开播"
"明治东京恋伽","85.2万追番","全12话","19年1月开播"
"昏行者 & 炫目篝火","6.3万追番","全2话","24年4月开播"
"星之卡比","16.8万追番","全100话","01年10月开播"
"星之梦","128.3万追番","全5话","16年7月开播"
"星之梦～雪圈球～","121.9万追番","全1话","21年8月开播"
"星合之空","51.9万追番","全12话","19年10月开播"
"星掠者","288.9万追番","全24话","20年1月开播"
"星星公主","2.6万追番","全13话","03年7月开播"
"星梦手记","14.5万追番","全12话","16年10月开播"
"星梦手记 声优节目","1.6万追番","全12话","16年10月开播"
"星河战队：入侵","10万追剧","2012年7月21日上映","20年7月开播"
"星河战队：火星叛国者","2.9万追剧","2017年8月21日上映","22年5月开播"
"星球大战：幻境 第一季 日语配音","2万追番","全9话","24年10月开播"
"星球大战：绝地传奇 中文配音","1459追番","全6话","25年5月开播"
"星球流浪记","1万追番","全52话","03年10月开播"
"星空奇迹","1.8万追番","全1话","06年7月开播"
"星空清理者","15.8万追番","全26话","03年10月开播"
"星际少年队","2.5万追番","全26话","03年4月开播"
"星际牛仔 天国之扉","34.2万追番","全1话","01年9月开播"
"星际艾拉","356追番","全52话","24年9月开播"
"星际艾拉 中文配音","347追番","全52话","24年9月开播"
"星际赛车","2266追番","全1话","07年1月开播"
"春","22.8万追剧","2013年6月8日上映","21年10月开播"
"春日望和安斋由香里的Do YU~NO~ the Radio","2.3万追番","全23话","20年9月开播"
"昨日之歌","109.7万追番","全12话","20年4月开播"
"昭和物语","4.7万追番","全13话","11年4月开播"
"昴宿七星","90.1万追番","全12话","18年7月开播"
"晚安世界","24.1万追番","全12话","23年10月开播"
"晨曦公主","123.1万追番","全24话","14年10月开播"
"普罗米亚","97.8万追剧","2021年6月5日上映","21年10月开播"
"普通女高中生要做当地偶像 OVA","4.6万追番","全2话","15年12月开播"
"智龙迷城","3.3万追番","全147话","18年4月开播"
"智龙迷城X","8.4万追番","全89话","16年7月开播"
"暗夜魔法使","6.5万追番","全13话","07年10月开播"
"暗黑破坏神在身边。","97.9万追番","全12话","20年1月开播"
"暴太郎战队咚兄弟","19万追番","全50话","23年7月开播"
"暴太郎战队咚兄弟 电影 新·初恋英雄","14.8万追番","全1话","24年10月开播"
"暴太郎战队咚兄弟（中配）","1.4万追番","全50话","23年7月开播"
"暴太郎战队咚兄弟对决全开者","37万追番","全1话","25年10月开播"
"暴食狂战士","15.6万追番","全12话","24年7月开播"
"曙光少女","4.8万追番","全25话","05年10月开播"
"最后可以再拜托您一件事吗？","58.3万追番","全13话","25年10月开播"
"最后的吸血鬼","12.4万追番","全1话","00年11月开播"
"最强王者的第二人生","19万追番","全12话","25年4月开播"
"最游记 Requiem 落选者的镇魂歌","1.8万追番","全1话","01年8月开播"
"最游记OVA 希望之罪过","1.7万追番","全1话","02年9月开播"
"最游记RELOAD 埋葬篇","2.6万追番","全3话","07年4月开播"
"最终休止符～无止境的螺旋物语～","23.9万追番","全12话","20年7月开播"
"最终兵器彼女","8.9万追番","全13话","02年6月开播"
"最终幻想：灵魂深处","4.4万追番","全2话","01年7月开播"
"最终幻想VII：降临之子","39.5万追番","全1话","05年9月开播"
"最终流放","14.8万追番","全26话","03年4月开播"
"月光下的异世界之旅","297.5万追番","全12话","21年7月开播"
"月刊少女野崎君","463.4万追番","全12话","14年7月开播"
"月咏-MOON PHASE-","6.6万追番","全26话","04年10月开播"
"月桂树的王子们","4.5万追番","全13话","06年10月开播"
"月歌","57.9万追番","全13话","16年7月开播"
"月歌。THE ANIMATION2","59.6万追番","全13话","20年10月开播"
"月野艺能事务所 第二季","22.2万追番","全10话","21年8月开播"
"月面兔兵器米娜","4.4万追番","全13话","07年1月开播"
"有顶天家族","48.6万追番","全13话","13年7月开播"
"未来卡 搭档对战","3万追番","全64话","14年1月开播"
"未来卡 神搭档对战","2.3万追番","全47话","18年6月开播"
"未来童话","5762追番","全13话","25年8月开播"
"未来童话 第二季","1834追番","全13话","25年8月开播"
"未来都市No.6","55.7万追番","全11话","11年7月开播"
"未确认进行式","105.3万追番","全12话","14年1月开播"
"未确认进行式 OAD","11.6万追番","全1话","14年3月开播"
"未确认进行式 OVA","13.2万追番","全1话","14年3月开播"
"末日后酒店","58.2万追番","全12话","25年4月开播"
"本田小狼与我","17.3万追番","全12话","22年9月开播"
"朱妮托尼儿歌","2.5万追番","全342话","22年2月开播"
"机动战士高达 THE ORIGIN I：苍瞳的卡斯巴尔","23.2万追番","全1话","15年4月开播"
"机动战士高达 THE ORIGIN II：悲哀的阿尔黛西亚","12.6万追番","全1话","15年11月开播"
"机动战士高达 THE ORIGIN III：破晓起义","13.8万追番","全1话","16年6月开播"
"机动战士高达 THE ORIGIN V：激战 鲁姆会战","13.5万追番","全1话","17年11月开播"
"机动战士高达 THE ORIGIN VI：红色彗星的诞生","13.4万追番","全1话","18年7月开播"
"机动战士高达 铁血的奥尔芬斯 第一季","77.2万追番","全25话","15年10月开播"
"机动战士高达 铁血的奥尔芬斯 第二季","39.7万追番","全25话","16年10月开播"
"机动战士高达 雷霆宙域战线 第一季","31.1万追番","全4话","15年12月开播"
"机动战士高达：水星的魔女","36.5万追番",0,"敬请期待"
"机动战士高达：跨时之战","3.4万追剧","敬请期待","25年9月开播"
"机动战士高达：闪光的哈萨维","44.3万追番","全1话","21年7月开播"
"机动战士高达AGE","13.8万追番","全49话","11年10月开播"
"机动战士高达SEED Destiny HD","55.5万追番","全50话","13年4月开播"
"机动战士高达独角兽(UC) RE:0096","78.9万追番","全22话","16年4月开播"
"机动新撰组 萌之剑","6.6万追番","全13话","05年7月开播"
"机动武斗传G高达","13.6万追番","全49话","94年4月开播"
"机器人少女Z","6.7万追番","全3话","14年1月开播"
"机器人少女Z SP","1.1万追番","全3话","14年1月开播"
"机器人少女Z+","1.6万追番","全6话","15年5月开播"
"机器人笔记","17.4万追番","全22话","21年2月开播"
"机密复仇者：黑寡妇与惩罚者","1.9万追剧","2014年3月11日上映","22年6月开播"
"机巧魔神","17.5万追番","全13话","09年4月开播"
"机甲战记威龙","2.1万追番","全48话","87年2月开播"
"机甲界卡利安 OVA","1604追番","全3话","86年1月开播"
"机界战队全开者","22.1万追番","全46话","24年5月开播"
"机界战队全开者对煌辉者对前辈者","1.2万追番","全1话","24年5月开播"
"机神咆吼","15.8万追番","全12话","06年5月开播"
"机神大战巨型方程式","1.2万追番","全26话","07年4月开播"
"机魂末世录","2.3万追番","全22话","03年4月开播"
"杖与剑的魔剑谭","31.8万追番","全12话","24年10月开播"
"来冲浪吧！！美少年！！","11.8万追番","全12话","21年1月开播"
"来自新世界","144.6万追番","全25话","12年9月开播"
"来自深渊 剧场版总集篇","77.6万追番","全2话","20年9月开播"
"来自深渊 深沉灵魂的黎明","98.2万追番","全1话","20年9月开播"
"来自风平浪静的明天","163.8万追番","全26话","13年10月开播"
"极上学生会","2万追番","全26话","05年4月开播"
"极主夫道","305.4万追番","全10话","21年4月开播"
"极速车魂","83万追番","全12话","24年5月开播"
"极速车魂 第二季","82.3万追番","全12话","24年10月开播"
"枪神剧场版","6.9万追番","全1话","10年4月开播"
"架向星空之桥","79.2万追番","全12话","11年4月开播"
"某科学的一方通行","306.8万追番","全12话","19年7月开播"
"某科学的超电磁炮","662.3万追番","全24话","09年10月开播"
"某科学的超电磁炮S","320.3万追番","全24话","13年4月开播"
"某科学的超电磁炮T","679.9万追番","全25话","20年1月开播"
"柔道少女","1.6万追番","全26话","89年4月开播"
"柯鲁布克罗/ Coluboccoro","3.4万追番","全1话","16年3月开播"
"柴犬阿旺的和式生活","5.6万追番","全80话","06年4月开播"
"校园理想乡 学美向前冲！","13.4万追番","全12话","07年1月开播"
"校园迷糊大王","42.9万追番","全26话","04年10月开播"
"校园迷糊大王 一学期补习","4.2万追番","全2话","05年12月开播"
"校园迷糊大王 二学期","9.1万追番","全26话","06年4月开播"
"核爆默示录","31.5万追番","全13话","13年10月开播"
"格林童话剧场【中文】","10.8万追番","全47话","87年10月开播"
"格林笔记 The Animation","69万追番","全12话","19年1月开播"
"格莱普尼尔","227.1万追番","全13话","20年4月开播"
"桃子男孩渡海而来","99.3万追番","全12话","21年7月开播"
"桃子男孩渡海而来 正序版","97.9万追番","全12话","21年9月开播"
"桥的那一边","2.7万追番","全1话","12年9月开播"
"梦之祭","18.2万追番","全12话","16年9月开播"
"梦之祭！R","6.1万追番","全12话","17年8月开播"
"梦幻之星 神谕篇","40.7万追番","全26话","19年10月开播"
"梦幻之星online2","30.7万追番","全12话","16年1月开播"
"梦比优斯奥特曼","86万追番","全50话","21年3月开播"
"梦比优斯奥特曼&奥特兄弟","6万追番","全1话","23年1月开播"
"梦比优斯奥特曼&奥特兄弟（中配）","1.4万追番","全1话","23年1月开播"
"梦比优斯奥特曼外传 复活的恶灵","2.7万追番","全2话","23年1月开播"
"梦比优斯奥特曼外传 复活的恶灵（中配）","9306追番","全2话","23年1月开播"
"梦比优斯奥特曼外传 黑暗的铠甲","1.6万追番","全2话","23年5月开播"
"梦王国与沉睡的100王子","20.7万追番","全12话","18年7月开播"
"棒球伙伴","6.8万追番","全11话","16年7月开播"
"棒球英豪 TV版","14万追番","全101话","85年3月开播"
"棒球英豪 剧场版","1.8万追番","全3话","85年3月开播"
"森林大帝 1989","2.1万追番","全52话","89年10月开播"
"森林好小子","2.8万追番","全26话","88年3月开播"
"棺姬嘉依卡 OVA","17.8万追番","全1话","15年3月开播"
"植木的法则","9.9万追番","全51话","05年4月开播"
"模型战士高达模型制作家 起始G","6.2万追番","全1话","10年8月开播"
"横山光辉三国志","2万追番","全47话","91年10月开播"
"樱子小姐的脚下埋着秘密","187.6万追番","全12话","15年10月开播"
"樱桃小丸子 第五季 上","5791追番","全13话","25年5月开播"
"樱桃小丸子 第五季 上（中配）","6504追番","全13话","25年5月开播"
"樱桃小丸子 第五季 下","5273追番","全11话","25年5月开播"
"樱桃小丸子 第四季 上","1.6万追番","全52话","25年5月开播"
"樱桃小丸子 第四季 上（中配）","1.7万追番","全52话","25年5月开播"
"樱桃小丸子 第四季 下","6456追番","全73话","25年5月开播"
"樱花大战 OVA2.5 神崎堇引退纪念","1.1万追番","全1话","02年12月开播"
"樱花大战 OVA2轰华绚烂","1.2万追番","全6话","20年6月开播"
"樱花大战 OVA3 燃烧的巴黎","1.2万追番","全3话","03年3月开播"
"樱花大战 OVA4 崭新的巴黎","1万追番","全3话","04年10月开播"
"樱花大战 OVA5 纽约","1.2万追番","全6话","07年4月开播"
"樱花大战 剧场版 樱花大战活动写真","1.3万追番","全1话","01年12月开播"
"樱花庄的宠物女孩","433.9万追番","全24话","12年10月开播"
"樱花忍法帖","17.3万追番","全24话","18年1月开播"
"橘色奇迹","31.2万追番","全13话","16年7月开播"
"橙路","6万追番","全48话","87年4月开播"
"橙路 OVA","1.1万追番","全8话","89年2月开播"
"橙路 再回到往日","9737追番","全1话","88年10月开播"
"次元发电机","32.4万追番","全45话","18年5月开播"
"欢迎光临樱兰高校","256.8万追番","全26话","06年4月开播"
"欢迎来到加帕里公园","4.4万追番","全12话","18年8月开播"
"欢迎来到加帕里公园 第三季","5万追番","全12话","20年4月开播"
"欢迎来到加帕里公园 第二季","2.4万追番","全12话","19年5月开播"
"欢迎来到宇宙SHOW","4.7万追番","全1话","10年6月开播"
"欢迎来到实力至上主义的教室","760.5万追番","全12话","17年7月开播"
"欢迎来到日本，妖精小姐。","9.2万追番","全12话","25年8月开播"
"欧布奥特曼","83.5万追番","全25话","21年3月开播"
"欧布奥特曼 原生之初","65.5万追番","全12话","21年3月开播"
"欧布奥特曼 原生之初（中配）","58.5万追番","全12话","21年3月开播"
"欧布奥特曼 英雄传","1.4万追番","全26话","23年9月开播"
"欧布奥特曼（中配）","61万追番","全25话","21年3月开播"
"欧布奥特曼剧场版 赐予我羁绊之力吧！","3.3万追番","全1话","23年1月开播"
"欧布奥特曼剧场版 赐予我羁绊之力吧！（中配）","1.3万追番","全1话","23年1月开播"
"歌之☆王子殿下 真爱1000%","30.9万追番","全13话","11年7月开播"
"歌之☆王子殿下 真爱2000%","16.4万追番","全13话","13年4月开播"
"歌剧少女！！","44.6万追番","全13话","21年7月开播"
"歌塑世界","20.8万追番","全12话","19年10月开播"
"歌声是千层派","6.6万追番","全10话","25年9月开播"
"正义小天使真绪","4.9万追番","全26话","02年7月开播"
"正相反的你与我","61.6万追番","更新至第6话","1月25日开播"
"此花亭奇谭","257.6万追番","全12话","17年10月开播"
"此花亭奇谭（中配）","14.6万追番","全12话","18年8月开播"
"武器种族传说","31.3万追番","全26话","05年4月开播"
"武装炼金","5.8万追番","全26话","06年10月开播"
"武装神姬","42.1万追番","全13话","12年10月开播"
"武装神姬 Moon Angel","5.5万追番","全10话","11年9月开播"
"死神少爷与黑女仆","260.1万追番","全12话","21年7月开播"
"死神的歌谣","8.5万追番","全6话","06年3月开播"
"每度！浦安铁筋家族","5.5万追番","全24话","14年7月开播"
"毒蛇信条","1.8万追番","全12话","09年1月开播"
"比宇宙更远的地方","183.2万追番","全13话","18年1月开播"
"比得兔（特别篇）","2.3万追番","全5话","15年1月开播"
"比得兔（第一季）","9.9万追番","全50话","15年1月开播"
"水晶版 雷公 雷的传说","3.1万追番","全1话","01年12月开播"
"水果篮子 (2019)","127.2万追番","全25话","19年4月开播"
"水果篮子 最终季","131.7万追番","全13话","21年7月开播"
"水果篮子 第二季","118万追番","全25话","20年4月开播"
"永不消失的彩虹","9万追番","全12话","06年10月开播"
"永久少年","6.8万追番","全24话","22年9月开播"
"永恒传说","2.6万追番","全13话","01年1月开播"
"永生之酒","104万追番","全16话","07年7月开播"
"永远之久远","24.3万追番","全6话","11年7月开播"
"永远的大和号","5466追番","全1话","80年8月开播"
"永远的艾塞莉娅","2.2万追番","全2话","05年6月开播"
"江户川柯南失踪事件～史上最糟糕的两天～","57.9万追番","全1话","20年4月开播"
"江户盗贼团五叶","21.9万追番","全12话","10年4月开播"
"池袋西口公园","53.5万追番","全12话","20年10月开播"
"汪汪一对宝 第三季","1273追番","全25话","25年4月开播"
"汪汪一对宝 第三季 中文配音","1371追番","全25话","25年4月开播"
"汪汪队立大功 第一季","4.7万追番","全23话","22年4月开播"
"汪汪队立大功 第一季 中文配音","11万追番","全23话","22年4月开播"
"汪汪队立大功 第三季","30.7万追番","全26话","25年11月开播"
"汪汪队立大功 第三季 中文配音","31.3万追番","全26话","25年11月开播"
"汪汪队立大功 第二季","5万追番","全24话","22年1月开播"
"汪汪队立大功 第二季 中文配音","17.8万追番","全24话","22年1月开播"
"汪汪队立大功 第五季","31.1万追番","全26话","25年11月开播"
"汪汪队立大功 第五季 中文配音","32.7万追番","全26话","25年11月开播"
